rewards,mean10_rewards
143.5,161.89999999999998
104.0,159.15
186.0,159.8
158.0,155.6
163.5,154.75
145.5,152.2
144.0,150.85
199.5,158.05
200.0,162.64999999999998
200.0,163.39999999999998
151.0,164.15
152.5,169.0
163.5,166.75
157.0,166.64999999999998
200.0,170.3
160.5,171.8
178.5,175.25
176.0,172.9
134.0,166.3
200.0,166.3
131.5,164.35000000000002
200.0,169.1
150.0,167.75
167.5,168.8
183.0,167.1
191.5,170.2
116.5,164.0
200.0,166.4
151.5,168.14999999999998
123.5,160.5
200.0,167.35
155.0,162.85
148.0,162.64999999999998
200.0,165.89999999999998
184.0,166.0
170.0,163.85000000000002
200.0,172.2
152.0,167.4
157.0,167.95
200.0,175.60000000000002
166.0,172.2
126.0,169.3
191.5,173.64999999999998
162.0,169.85
194.5,170.89999999999998
157.5,169.65
122.0,161.85
116.0,158.25
200.0,162.55
197.0,162.25
200.0,165.64999999999998
122.0,165.25
200.0,166.1
162.0,166.10000000000002
194.0,166.05
185.5,168.85000000000002
200.0,176.65
200.0,185.05
163.5,181.4
151.5,176.85000000000002
173.0,174.15
178.5,179.8
125.5,172.35
175.0,173.65
200.0,174.25
162.0,171.9
174.5,169.35000000000002
200.0,169.35000000000002
139.0,166.9
171.5,168.9
200.0,171.60000000000002
200.0,173.75
160.5,177.25
199.0,179.65
160.0,175.65
148.5,174.3
200.0,176.85000000000002
200.0,176.85000000000002
181.0,181.05
143.5,178.25
200.0,178.25
194.5,177.7
200.0,181.65
200.0,181.75
195.5,185.3
200.0,190.45
200.0,190.45
167.5,187.2
200.0,189.1
192.0,193.95
200.0,193.95
177.5,192.25
200.0,192.25
113.0,183.55
200.0,184.0
157.5,179.75
177.0,177.45
200.0,180.7
154.5,176.15
161.5,173.10000000000002
164.0,169.5
138.0,165.55
200.0,165.55
200.0,174.25
180.0,172.25
200.0,176.5
200.0,178.8
199.0,178.7
181.0,181.35000000000002
166.5,181.85
180.5,183.5
150.0,184.7
147.5,179.45
137.0,173.14999999999998
200.0,175.14999999999998
143.5,169.5
187.5,168.25
175.0,165.85000000000002
200.0,167.75
200.0,171.10000000000002
165.0,169.55
192.5,173.8
162.5,175.3
84.5,170.05
177.0,167.75
151.5,168.55
200.0,169.8
187.5,171.05
200.0,171.05
189.5,170.0
200.0,173.5
160.0,170.25
179.5,171.95
174.5,180.95
129.5,176.2
200.0,181.05
135.0,174.55
188.5,174.65
200.0,174.65
165.0,172.2
200.0,172.2
181.5,174.35
200.0,176.39999999999998
146.0,173.55
128.0,173.39999999999998
200.0,173.39999999999998
151.5,175.05
141.0,170.3
196.5,169.95
200.0,173.45
198.0,173.25
192.0,174.3
157.0,170.0
174.5,172.85
200.0,180.05
184.0,178.45
130.0,176.3
186.5,180.85000000000002
178.0,179.0
164.5,175.45
162.0,171.85
176.5,170.3
169.5,171.55
200.0,174.10000000000002
149.5,169.05
200.0,170.65
160.5,173.7
200.0,175.05
192.0,176.45
200.0,180.0
198.0,183.60000000000002
196.5,185.6
165.0,185.15
156.5,180.8
200.0,185.85
162.5,182.1
192.5,185.3
200.0,185.3
179.0,184.0
142.5,178.25
80.0,166.45
168.0,163.6
200.0,167.1
160.5,167.5
200.0,167.5
200.0,171.25
162.0,168.2
200.0,168.2
200.0,170.3
200.0,176.05
156.0,183.65
200.0,186.85
160.0,182.85
200.0,186.8
200.0,186.8
200.0,186.8
151.0,185.7
177.0,183.4
200.0,183.4
200.0,183.4
198.5,187.65
176.0,185.25
200.0,189.25
162.0,185.45
200.0,185.45
200.0,185.45
200.0,190.35
200.0,192.64999999999998
144.0,187.05
200.0,187.05
165.5,183.75
145.0,180.65
188.5,179.5
200.0,183.3
190.5,182.35
